"","gene_short_name","value_1","value_2"
"798","CG17839",6.91328,18.6556
"799","CG18171",6.00645,16.1939
"800","CG30414,roh",438.338,1180.27
"801","CG8209",116.128,312.511
"802","5-HT2A",0.890616,2.38984
"803","CR43650",11.7196,31.4375
"804","CG32444",20.4995,54.9798
"805","Rs1",46.8872,125.731
"806","spheroide",6.34175,16.999
"807","Irbp18",146.89,392.878
"808","kis",55.6875,148.831
"809","RpL15",1088.54,2907.4
"810","CG12374",23.8734,63.7257
"811","eIF5B",157.385,419.996
"812","CG11406",29.4446,78.5644
"813","colt",66.3718,177.049
"814","ATPsyndelta",274.068,730.54
"815","CG42394",4.10795,10.9483
"816","lambdaTry",4.30087,11.4588
"817","CG34183",76.96,205.01
"818","Cyp28d1",1.50768,4.0158
"819","Ppat-Dpck",53.8352,143.338
"820","CG34228",81.5451,217.077
"821","Ncoa6",450.513,1198
"822","FeCH",196.81,523.29
"823","CG6843",175.359,466.247
"824","CG42342",6.07037,16.1283
"825","CG6048",1.86512,4.9461
"826","Myo95E,mRpS24",85.9755,227.85
"827","Orct",6.66046,17.6503
"828","CG14591",1.07299,2.84226
"829","obst-B",1.306,3.45735
"830","CG9911",74.7565,197.9
"831","disco",3.01262,7.97214
"832","CG31030",1.0165,2.68862
"833","Decay",6.85604,18.1318
"834","GstT4",55.6678,147.122
"835","RpS15",895.734,2362.6
"836","Blos2",34.8034,91.7814
"837","CG30120,CG5189",35.8832,94.6256
"838","upSET",38.2771,100.875
"839","RpS9",664.969,1752.31
"840","Muc12Ea",0.333236,0.877038
"841","CG43737",1.81171,4.76277
"842","Rrp46",18.0278,47.3478
"843","CG42524,mir-278",13.2907,34.9066
"844","CG6145",82.7094,217.198
"845","CG14183,CG14184",63.0185,165.287
"846","ND-42,pit",164.539,430.726
"847","e(y)2",100.116,262.04
"848","unc80",0.267127,0.699142
"849","rha",0.39388,1.03079
"850","CG45080",1665.07,4355.79
"851","Taf10",101.981,266.574
"852","ths",0.301578,0.78805
"853","Gbp1",10.3768,27.0924
"854","ND-ACP,l(3)02640",586.434,1530.91
"855","CG16935",38.5303,100.562
"856","Cpr",982.567,2562.33
"857","CG14968",7.25246,18.9032
"858","ND-49",89.1833,232.181
"859","Odc1",4.33241,11.2733
"860","nAChRalpha5",3.01603,7.8468
"861","Jarid2",270.126,702.699
"862","Pkg21D",1.09114,2.83798
"863","Rcd4",93.4289,242.676
"864","CG9643",45.8038,118.963
"865","CG15890",0.412505,1.07129
"866","Hexo2",33.1501,86.0508
"867","Fmo-2",19.6375,50.9431
"868","CG31675,CG9338",8.61908,22.3206
"869","Men",91.5602,237.104
"870","CG12105",2.26239,5.85845
"871","mRpL33",131.585,340.6
"872","CG15093",90.7337,234.83
"873","Hsc70-2",6.02901,15.5911
"874","Tbh",0.372551,0.963071
"875","Rpt3",284.481,735.306
"876","CG7009",21.7052,56.0987
"877","CG44037,svp",51.6901,133.517
"878","CG18731",53.3072,137.689
"879","axo",1.19477,3.08457
"880","CG14082",0.856061,2.20482
"881","Jon65Aiv",195.939,503.853
"882","Ance",6.22413,15.9764
"883","Diedel3",2.99977,7.69372
"884","CR45806",34.0706,87.3671
"885","Reph",47.4611,121.702
"886","COQ7",94.4419,242.125
"887","CG6638",40.3675,103.469
"888","CG7322",194.987,499.338
"889","CR44144",6.50974,16.6697
"890","Cbp53E",2.6421,6.76435
"891","Cyt-b5-r",16.8798,43.2145
"892","CG13919",31.3096,80.04
"893","epsilonCOP",40.7649,104.194
"894","CG14903",104.501,267.031
"895","Sucb",22.9765,58.7112
"896","CR44898,robo2",1.71982,4.39374
"897","CG7560",2.20605,5.63511
"898","CG5506",41.6922,106.472
"899","RpL31,Updo",2263.62,5776.58
"900","mspo",2.89814,7.38529
"901","CG2765",653.064,1660.69
"902","CG14022",8.97418,22.8127
"903","CG1468",8.70745,22.1081
"904","Apf,CG31712",43.748,111.071
"905","mRpL19",43.3832,110.098
"906","l(1)G0004",85.6185,217.188
